objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
588848899934128112,756,44,3,756,2032,3,228.99977356,-0.12293248,24.1523,23.194666,22.202007,22.032438,22.073236,0.960498,0.230703,0.15308,0.207749,0.703301
588848899934128121,756,44,3,756,2041,6,229.00253858,-0.09194369,22.250395,21.662235,21.245867,21.147753,20.87656,0.201967,0.052567,0.054484,0.075514,0.224026
588848899934128164,756,44,3,756,2084,6,229.01467284,-0.12685453,21.759924,20.978006,20.667521,20.595476,20.636461,0.131921,0.030445,0.033639,0.046606,0.18283
588848899934128167,756,44,3,756,2087,6,229.01675549,-0.08719787,22.039991,21.251451,20.860281,20.75658,20.680971,0.162669,0.036591,0.038038,0.051165,0.180674
588848899934128168,756,44,3,756,2088,6,229.01551079,-0.08791873,23.091995,21.887562,21.666035,21.472219,21.392937,0.384306,0.059783,0.074088,0.09427,0.324624
588848899934128169,756,44,3,756,2089,6,229.01446149,-0.08706916,23.010775,21.924162,21.722151,21.579956,21.264788,0.367008,0.063199,0.080156,0.107247,0.302844
588848899934128170,756,44,3,756,2090,6,229.01356914,-0.08754127,22.890438,22.188807,21.669462,21.542753,21.1535,0.330085,0.077861,0.075538,0.102066,0.323179
588848899934128171,756,44,3,756,2091,6,229.01856128,-0.08740301,24.75292,22.300987,22.005636,21.760607,21.146385,0.816566,0.084987,0.100586,0.123387,0.271638
588848899934128172,756,44,3,756,2092,6,229.0179408,-0.08596059,23.333408,22.445997,22.019964,21.921297,21.434561,0.462161,0.094551,0.100185,0.139145,0.333814
588848899934128173,756,44,3,756,2093,6,229.01932483,-0.08707828,24.452198,22.492565,22.101492,22.268621,21.834486,0.79859,0.098465,0.107702,0.187943,0.448005
588848899934128737,756,44,3,756,2657,6,228.98992998,-0.10217762,23.332747,22.240238,22.055813,21.847929,21.785543,0.48149,0.083447,0.109126,0.139222,0.457537
588848899934128757,756,44,3,756,2677,6,228.99324133,-0.106779,22.757149,21.419752,20.947321,20.761183,20.765894,0.293114,0.041722,0.041316,0.052231,0.19718
588848899934128759,756,44,3,756,2679,6,228.99480306,-0.12229199,24.1003,22.556814,22.271116,22.18869,22.370522,0.726466,0.10304,0.123653,0.176196,0.590362
588848899934128767,756,44,3,756,2687,3,228.99632993,-0.12371999,23.711477,23.273405,22.792732,22.9242,21.869455,0.658488,0.209211,0.219986,0.371461,0.52546
588848899934128813,756,44,3,756,2733,6,229.00510881,-0.12897373,23.783846,23.190191,23.012594,22.836693,22.051386,0.647516,0.184699,0.247729,0.323685,0.546387
588848899934128820,756,44,3,756,2740,6,229.00658281,-0.09080446,22.872841,21.852888,21.479681,21.288963,21.185879,0.325403,0.05904,0.064141,0.08185,0.278598
588848899934128841,756,44,3,756,2761,6,229.00803971,-0.1315703,23.517996,22.943516,22.615257,22.23525,21.830986,0.519931,0.144427,0.168775,0.185895,0.454951
588848899934128849,756,44,3,756,2769,6,229.0081643,-0.0864789,23.234884,22.276382,21.756075,21.681906,22.209242,0.553239,0.10677,0.104635,0.151771,0.75268
588848899934128850,756,44,3,756,2770,6,229.00862318,-0.08508314,24.599669,23.290058,22.917162,22.285124,23.226213,0.805804,0.19234,0.216883,0.191435,0.605531
588848899934128863,756,44,3,756,2783,6,229.01084134,-0.12942907,23.896477,22.828066,22.225845,22.066793,21.660778,0.699112,0.139413,0.129325,0.17274,0.435677
588848899934128866,756,44,3,756,2786,3,229.01144859,-0.13155003,22.514742,21.777821,21.324978,21.22801,20.598288,0.273044,0.062772,0.064577,0.090766,0.203653
588848899934128867,756,44,3,756,2787,6,229.01013103,-0.13087783,24.213013,23.42589,22.423759,22.587009,22.652908,0.752707,0.212573,0.141477,0.246704,0.639908
588848899934128884,756,44,3,756,2804,6,229.01273919,-0.09138925,23.333563,22.598553,22.145866,22.115549,21.243885,0.461095,0.107817,0.111799,0.164969,0.288143
588848899934128885,756,44,3,756,2805,6,229.01417745,-0.0908406,24.698185,23.135941,23.093233,22.768761,22.986652,0.801966,0.168303,0.250497,0.286359,0.635575
588848899934128887,756,44,3,756,2807,3,229.01473597,-0.13023537,24.36274,22.912012,22.231808,22.371561,22.094997,0.866467,0.156521,0.133926,0.231862,0.594796
588848899934128903,756,44,3,756,2823,3,229.01782068,-0.09152876,24.83329,22.709404,22.726799,22.379425,21.14019,0.963608,0.143418,0.226158,0.257053,0.328224
588848899934128929,756,44,3,756,2849,6,229.02221025,-0.08872745,23.265137,22.432018,22.083208,21.69565,21.697809,0.4348,0.093618,0.106169,0.114569,0.40524
588848899934128935,756,44,3,756,2855,6,229.02202788,-0.1259299,25.196243,22.731728,22.426044,22.565063,22.594934,0.743969,0.125095,0.148539,0.254592,0.667453
588848899934128942,756,44,3,756,2862,6,229.02444028,-0.09240282,23.811687,22.950396,23.006536,22.473295,21.900921,0.624787,0.144676,0.233064,0.223543,0.465263
588848899934128949,756,44,3,756,2869,6,229.02534306,-0.09474069,22.842283,22.21867,21.87685,21.512497,20.960512,0.31248,0.078319,0.0888,0.097808,0.226748
588848899934128967,756,44,3,756,2887,3,229.02854674,-0.0911199,23.226048,22.043571,21.626453,21.532207,21.26371,0.485821,0.076766,0.082522,0.115989,0.346756
588848899934128968,756,44,3,756,2888,6,229.02749364,-0.09117795,24.318161,22.906382,22.113277,22.082924,22.029526,0.781952,0.139438,0.109001,0.160142,0.501607
