MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Cl* NGC  188    SMV    9292	*inCl	00 50 13.76	+85 20 01.5	13.4	11.8	89	-0.41	2.44	22.019	21.287	20.863	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9301	*inCl	00 50 07.28	+85 06 58.6	4.5	3.7	90	-4.47	6.16	20.226	19.387	18.895	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9303	*inCl	00 50 15.03	+85 20 19.2	8.7	6.8	90	-4.91	-3.99	22.426	20.817	19.769	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9326	*inCl	00 50 18.62	+85 21 58.3	70	70	97	-5.12	-1.02	18.822	17.685	16.98	15.581	15.015	14.93	 	 	 	 	2
Cl* NGC  188    SMV    9337	*inCl	00 50 21.50	+85 23 48.2	60	60	124	8.82	-1.69	20.605	18.973	17.923	15.581	15.085	14.706	 	 	 	 	2
Cl* NGC  188    SMV    9348	*inCl	00 50 13.43	+85 08 23.5	280	240	176	-4.64	0.33	21.196	19.758	18.8	16.964	16.202	15.775	 	 	 	 	2
Cl* NGC  188    SMV    9359	*inCl	00 50 13.15	+85 05 01.1	3.7	3	0	-6.29	1.69	20.045	18.99	18.34	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9360	*inCl	00 50 15.04	+85 07 23.5	90	70	177	-4.97	0.66	17.668	16.849	16.329	15.239	14.84	14.732	 	 	 	 	2
Cl* NGC  188    SMV    9362	*inCl	00 50 20.38	+85 16 26.0	4.3	4	0	-5.04	3.18	20.675	19.752	19.135	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9367	*inCl	00 50 17.66	+85 10 54.6	6	5.5	90	4.67	-1.54	21.232	20.006	19.167	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9375	*inCl	00 50 26.83	+85 24 20.5	5.7	5.7	0	13.67	6.54	21.569	20.607	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9376	*inCl	00 50 21.12	+85 14 54.1	4	4	92	-6.54	0.06	20.707	19.347	18.471	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9380	*inCl	00 50 16.07	+85 06 01.5	6.3	5.1	0	-5.43	-0.91	21.186	19.759	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9382	*inCl	00 50 16.14	+85 05 16.1	50.5	24.3	0	2.24	3.04	22.095	21.398	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9385	*inCl	00 50 18.89	+85 09 18.8	7.2	6.6	59	-3.05	2.26	21.485	20.177	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9387	*inCl	00 50 17.32	+85 06 21.8	80	60	177	-2.65	1.66	16.915	16.24	15.797	14.958	14.695	14.492	 	 	 	 	2
Cl* NGC  188    SMV    9390	*inCl	00 50 27.13	+85 22 11.1	230	220	95	-2.3	1.89	18.122	17.786	17.412	16.233	15.533	15.503	 	 	 	 	2
Cl* NGC  188    SMV    9393	*inCl	00 50 23.70	+85 15 05.3	12.6	11.6	0	-6.6	1.4	22.497	21.054	20.019	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9407	*inCl	00 50 25.00	+85 14 39.4	4.1	3.7	0	-6.44	0.01	20.837	19.444	18.542	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9414	*inCl	00 50 22.24	+85 08 27.7	230	220	56	1.82	1.97	19.982	18.781	17.999	16.509	15.977	 	 	 	 	 	2
Cl* NGC  188    SMV    9417	*inCl	00 50 26.25	+85 14 10.1	4.2	3.5	0	-6.35	0.44	20.845	19.388	18.399	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9428	*inCl	00 50 31.80	+85 20 46.7	6.4	4.5	90	1.05	2.19	21.026	19.841	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9432	*inCl	00 50 34.86	+85 24 29.4	210	210	61	-2.31	3.64	 	19.927	 	16.613	15.848	15.436	 	 	 	 	2
Cl* NGC  188    SMV    9445	*inCl	00 50 34.23	+85 20 11.3	80	80	94	-4.75	-0.1	18.228	17.315	16.774	15.593	15.026	15.12	 	 	 	 	2
Cl* NGC  188    SMV    9446	*inCl	00 50 34.17	+85 19 44.1	6.6	5.5	0	-5	-0.81	21.929	20.411	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9452	*inCl	00 50 37.85	+85 24 49.2	36.3	16.8	90	1.55	5.16	22.217	21.494	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9476	*inCl	00 50 35.25	+85 17 18.8	22.3	15.4	90	0.99	2.59	22.562	21.001	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9477	*inCl	00 50 41.12	+85 25 57.0	23.1	19	90	-2.61	0.01	22.673	21.125	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9482	*inCl	00 50 39.06	+85 21 41.7	6.8	6.8	78	-4.35	2.35	21.703	20.404	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9494	*inCl	00 50 30.53	+85 04 40.3	4.8	4.5	90	-1.46	1.45	21.268	19.752	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9519	*inCl	00 50 37.16	+85 08 31.5	80	60	0	4.21	12.65	18.228	16.97	16.085	14.271	13.661	13.506	 	 	 	 	2
Cl* NGC  188    SMV    9521	*inCl	00 50 44.57	+85 19 37.4	260	230	144	2.17	1.83	21.19	19.681	18.7	16.595	16.138	 	 	 	 	 	2
Cl* NGC  188    SMV    9523	*inCl	00 50 43.70	+85 17 58.3	14.2	9.4	0	-3.21	0.61	21.38	20.365	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9526	*inCl	00 50 36.18	+85 06 32.4	80	60	0	5.44	0.71	19.25	17.942	17.051	15.394	14.727	14.649	 	 	 	 	2
Cl* NGC  188    SMV    9528	*inCl	00 50 48.73	+85 24 34.6	70	70	0	-4.24	-0.22	18.114	17.199	16.671	15.507	15.175	14.795	 	 	 	 	2
Cl* NGC  188    SMV    9532	*inCl	00 50 41.30	+85 13 31.2	5.4	4.5	56	-5.45	0.58	21.293	19.89	18.899	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9534	*inCl	00 50 48.90	+85 24 14.1	4.1	3.6	0	-3.56	0.3	19.834	18.686	17.956	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9545	*inCl	00 50 50.90	+85 24 11.0	5.8	5.8	0	-4.87	0.37	21.998	20.421	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9551	*inCl	00 50 41.33	+85 08 51.9	9.6	8.7	0	-1.84	2.19	21.946	20.926	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9559	*inCl	00 50 40.24	+85 05 25.5	14.8	6.9	90	1.37	2.99	21.437	20.808	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9560	*inCl	00 50 51.27	+85 21 20.9	12	9.9	90	-3.56	3.11	22.396	21.133	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9568	*inCl	00 50 53.11	+85 22 06.7	8.8	8.5	0	-1.66	0.35	21.519	20.287	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9578	*inCl	00 50 47.12	+85 12 19.7	8.7	8.5	89	-5.78	1.11	22.431	20.858	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9581	*inCl	00 50 55.43	+85 23 37.2	9.6	9.2	0	2.44	2.79	21.129	20.531	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9586	*inCl	00 50 44.17	+85 07 03.9	3.8	3.2	0	-5.78	-1.67	18.944	17.656	16.804	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9587	*inCl	00 50 44.18	+85 06 59.8	6.2	5.4	0	-0.01	2.07	21.169	19.773	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9592	*inCl	00 50 57.38	+85 24 25.2	4.2	3.8	0	-3.48	4.95	20.86	19.836	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9597	*inCl	00 50 50.38	+85 14 22.7	7.8	5	0	-3.55	3.69	21.523	20.828	20.402	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9599	*inCl	00 50 51.82	+85 16 14.7	4.2	3.9	89	-4.26	1.42	19.084	18.031	17.35	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9606	*inCl	00 50 59.62	+85 25 11.9	250	230	5	-7.18	6.19	18.591	17.688	17.135	16.042	15.604	15.56	 	 	 	 	2
Cl* NGC  188    SMV    9608	*inCl	00 50 52.56	+85 15 05.8	25.4	19	89	-5.52	0.53	22.726	21.137	20.104	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9616	*inCl	00 50 55.67	+85 17 37.6	4.2	2.8	0	4.97	-5.17	16.803	15.8	15.183	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9617	*inCl	00 50 48.28	+85 06 30.3	210	180	142	1.1	0.1	20.325	18.999	18.3	16.52	15.741	 	 	 	 	 	2
Cl* NGC  188    SMV    9626	*inCl	00 50 48.01	+85 04 51.1	10.5	10.2	90	-2.75	-2.95	22.168	20.756	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9631	*inCl	00 50 55.21	+85 14 39.4	5.9	4.8	0	-1.4	3.51	20.44	19.933	19.652	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9662	*inCl	00 50 58.14	+85 14 07.3	5.8	5.7	0	-5.81	-0.79	21.777	20.255	19.269	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9664	*inCl	00 50 58.87	+85 14 50.6	7.5	7.3	90	-4.1	0.01	21.63	20.102	19.156	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9670	*inCl	00 50 54.28	+85 07 25.4	5.4	5.2	110	-1.69	4.14	20.161	19.648	19.267	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9676	*inCl	00 50 54.96	+85 07 44.1	14	10.2	0	-3.56	-0.71	22.292	21.287	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9706	*inCl	00 51 05.98	+85 16 16.9	4.2	3.7	0	-3.91	2.6	19.75	19.24	18.803	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9716	*inCl	00 51 01.23	+85 08 13.6	7.5	6.7	0	-3.63	0.62	20.868	20.63	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9717	*inCl	00 51 10.85	+85 20 24.2	60	60	0	20.41	-1.28	18.61	17.1	16.069	13.898	13.289	13.093	 	 	 	 	2
Cl* NGC  188    SMV    9731	*inCl	00 51 08.53	+85 16 30.5	9.5	8.3	0	 	 	18.411	17.46	16.926	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9735	*inCl	00 51 05.83	+85 12 28.7	6.7	5.9	0	-4.23	4.91	21.42	20.559	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9738	*inCl	00 51 10.44	+85 18 08.3	7.9	6.7	0	-3.15	0.7	21.496	19.848	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9739	*inCl	00 51 14.12	+85 22 42.6	4	3.9	89	-2.19	0.09	20.209	19.336	18.878	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9751	*inCl	00 51 09.00	+85 14 14.3	6	5.3	56	4.95	-1.69	21.996	20.432	19.4	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9755	*inCl	00 51 11.33	+85 16 18.4	50	26.3	90	-3.78	4.06	 	21.245	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9761	*inCl	00 51 17.34	+85 22 31.8	6	4.8	0	-5.66	-0.12	21.982	20.388	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9763	*inCl	00 51 18.02	+85 22 57.0	5.5	4.7	90	-3.22	3.12	21.325	20.424	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9777	*inCl	00 51 08.01	+85 06 52.0	80	70	174	10.12	-6.86	18.135	17.12	16.466	15.233	14.475	14.63	 	 	 	 	2
Cl* NGC  188    SMV    9791	*inCl	00 51 24.29	+85 24 04.3	70	70	0	-4.55	-1.01	18.042	17.142	16.621	15.474	14.86	15.001	 	 	 	 	2
Cl* NGC  188    SMV    9801	*inCl	00 51 22.99	+85 20 55.8	4.5	4	90	-2.46	3.5	20.234	19.492	19.212	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9803	*inCl	00 51 25.48	+85 23 13.8	170	170	99	-4.19	2.98	18.714	18.138	17.782	16.738	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9805	*inCl	00 51 23.73	+85 21 08.8	6.4	5.7	0	-2.85	3.39	21.472	20.525	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9810	*inCl	00 51 16.40	+85 11 58.8	6.3	6	108	-3.72	1.48	21.883	20.349	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9813	*inCl	00 51 26.39	+85 23 28.6	250	240	136	-5.46	-0.41	20.397	19.094	18.254	16.707	15.937	15.633	 	 	 	 	2
Cl* NGC  188    SMV    9822	*inCl	00 51 14.49	+85 07 56.9	100	90	177	-4.97	0.26	17.493	16.718	16.237	15.219	 	14.98	 	 	 	 	2
Cl* NGC  188    SMV    9824	*inCl	00 51 28.17	+85 23 54.2	44.5	33.2	0	-2.25	4.4	 	21.016	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9828	*inCl	00 51 21.06	+85 14 32.2	6.7	6	93	-6.16	0.46	21.664	20.119	19.111	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9840	*inCl	00 51 15.54	+85 06 29.5	6.1	5.9	0	-4.93	0.78	21.405	19.916	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9845	*inCl	00 51 24.34	+85 16 36.4	190	180	41	-5.25	4	22.38	20.743	 	16.567	15.8	 	 	 	 	 	2
Cl* NGC  188    SMV    9848	*inCl	00 51 21.51	+85 13 05.6	16.7	9.4	0	-3.69	-0.43	22.124	21.459	20.972	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9865	*inCl	00 51 26.72	+85 15 27.3	11.4	7.6	0	-1.11	2.02	21.947	20.96	20.169	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9872	*inCl	00 51 20.51	+85 06 09.1	29.4	21	0	-8.9	-4.57	22.424	20.971	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9883	*inCl	00 51 35.00	+85 21 10.8	27.7	27.6	0	6.83	-1.82	22.691	21.116	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9884	*inCl	00 51 26.09	+85 10 47.7	8.9	5.5	0	-3.7	4.3	21.191	20.583	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9891	*inCl	00 51 22.61	+85 05 21.7	7.9	6.9	90	-3.37	0.25	21.651	20.855	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9902	*inCl	00 51 40.25	+85 24 15.6	8.5	5.4	0	-9.44	5.91	21.756	20.334	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9904	*inCl	00 51 34.78	+85 17 46.4	6.8	4.8	0	-5.78	0.19	21.965	20.474	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9905	*inCl	00 51 39.94	+85 22 59.3	70	70	88	-7.95	-2.88	20.4	18.851	18	15.625	15.076	14.699	 	 	 	 	2
Cl* NGC  188    SMV    9906	*inCl	00 51 34.51	+85 16 39.3	4.9	4.7	89	-3.48	2.61	20.71	20.115	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9909	*inCl	00 51 37.27	+85 19 21.1	4.2	4	89	-2.3	2.4	19.641	18.936	18.511	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9911	*inCl	00 51 31.73	+85 12 56.1	4.5	3.9	0	-4.27	1.83	20.485	19.89	19.43	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9912	*inCl	00 51 42.67	+85 25 08.4	6.8	6.4	0	-6.35	-0.2	21.918	20.329	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9915	*inCl	00 51 41.91	+85 23 40.5	7.7	6.4	133	-4.26	0.38	21.321	20.693	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9919	*inCl	00 51 28.02	+85 06 43.1	170	170	93	-3.48	1.05	19.164	18.385	17.862	16.65	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9923	*inCl	00 51 40.06	+85 20 04.1	260	240	99	-4.5	3.72	18.446	17.784	17.375	16.294	16.207	 	 	 	 	 	2
Cl* NGC  188    SMV    9924	*inCl	00 51 28.74	+85 06 52.6	6.5	5.8	0	-4.32	0.2	21.573	20.077	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9925	*inCl	00 51 35.22	+85 14 27.2	9.2	8.8	0	-1.86	1.05	21.366	19.823	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9929	*inCl	00 51 36.35	+85 14 42.5	6.1	4.9	90	-5.52	0.87	21.84	20.297	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9951	*inCl	00 51 47.86	+85 24 59.2	60	60	83	-4.31	-1.64	18.194	17.002	16.272	14.826	14.182	14.148	 	 	 	 	2
Cl* NGC  188    SMV    9952	*inCl	00 51 40.30	+85 16 17.9	180	160	85	-0.79	3.19	22.245	20.685	 	16.688	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9953	*inCl	00 51 33.88	+85 09 14.2	5.6	4.5	0	-4.65	0.04	20.736	19.376	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9954	*inCl	00 51 36.78	+85 12 00.5	220	200	174	-5.39	0.54	21.352	19.816	18.9	16.396	16.002	15.243	 	 	 	 	2
Cl* NGC  188    SMV    9959	*inCl	00 51 44.91	+85 20 55.4	16.8	13.5	0	-1.17	0.65	22.23	21.215	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9961	*inCl	00 51 39.86	+85 15 14.4	6.5	5.8	90	-3.43	6.88	21.259	20.382	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9964	*inCl	00 51 46.18	+85 21 54.6	220	220	88	0.26	-4.15	21.326	19.764	18.7	16.323	15.658	15.511	 	 	 	 	2
Cl* NGC  188    SMV    9965	*inCl	00 51 40.38	+85 15 24.3	5.5	5.3	89	-4.89	-0.39	21.527	20.012	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9968	*inCl	00 51 46.30	+85 21 22.0	10.7	8.8	89	-4.02	2.63	21.93	21.167	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9978	*inCl	00 51 37.23	+85 09 02.7	11.8	6.9	0	-4.95	1.12	22.137	20.731	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9987	*inCl	00 51 51.16	+85 23 00.9	7.9	4.3	0	-3.01	0.1	21.985	20.388	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9992	*inCl	00 51 52.27	+85 23 19.7	10	9.8	85	-1.5	3.68	21.336	20.973	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV    9998	*inCl	00 51 42.93	+85 12 31.3	5.2	3.5	0	37.21	-6.33	20.001	18.397	17.285	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10003	*inCl	00 51 46.55	+85 15 34.8	220	190	146	9.43	1.09	21.751	20.254	 	16.796	15.881	15.349	 	 	 	 	2
Cl* NGC  188    SMV   10010	*inCl	00 51 47.88	+85 15 27.2	5.7	5.5	89	-6.1	4.02	21.406	20.387	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10020	*inCl	00 51 50.03	+85 16 37.6	4.1	3.6	90	-4.27	1.05	18.778	18.136	17.727	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10029	*inCl	00 51 52.87	+85 17 15.4	10.1	7.9	0	0.15	2.26	22.36	20.89	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10033	*inCl	00 51 45.33	+85 08 19.6	5.8	5.3	0	-2.95	2.96	21.487	20.014	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10042	*inCl	00 51 46.98	+85 08 15.7	3.6	3.5	90	-4.74	0.65	19.52	18.388	17.66	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10047	*inCl	00 51 50.07	+85 11 00.9	35.3	28.3	0	-9.17	4.96	21.254	20.494	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10060	*inCl	00 52 03.59	+85 23 32.4	60	60	120	-1.62	-1.31	19.109	17.721	15.4	14.965	14.395	13.951	 	 	 	 	2
Cl* NGC  188    SMV   10061	*inCl	00 51 56.24	+85 16 05.9	6.5	5.8	0	-4.64	3.17	20.63	20.066	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10069	*inCl	00 51 54.30	+85 12 46.7	4.3	4.2	0	-4.06	2.33	20.56	19.972	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10070	*inCl	00 51 55.36	+85 13 44.9	5	4.5	90	-5.26	0.04	21.303	19.822	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10078	*inCl	00 51 49.24	+85 05 46.0	160	140	137	-3.18	-0.46	19.411	18.307	17.59	16.111	15.332	15.602	 	 	 	 	2
Cl* NGC  188    SMV   10089	*inCl	00 51 52.94	+85 08 18.4	80	60	178	-6.14	4.05	16.745	16.102	15.685	14.84	14.412	14.476	 	 	 	 	2
Cl* NGC  188    SMV   10090	*inCl	00 52 09.09	+85 25 02.7	17.4	12	90	-2.5	5.53	22.17	21.176	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10112	*inCl	00 52 09.87	+85 22 38.9	3.7	3.5	0	-1.85	3.82	18.274	17.654	17.233	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10125	*inCl	00 52 11.33	+85 22 24.9	3.8	3.4	0	-1.42	2.75	20.311	19.293	18.628	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10126	*inCl	00 52 09.10	+85 20 10.3	4.1	3.7	0	-3.38	2.89	19.694	19.181	18.755	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10131	*inCl	00 51 55.77	+85 05 49.5	140	140	0	-2.96	4.52	18.41	17.727	17.261	16.315	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10135	*inCl	00 52 06.52	+85 16 48.0	7.6	6.3	0	-3.9	3.44	22.082	20.566	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10139	*inCl	00 52 03.25	+85 12 52.1	8.7	7.1	0	-1.36	4.08	22.184	20.72	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10142	*inCl	00 52 13.35	+85 22 41.4	4.6	3.5	120	6.13	-5.75	20.914	19.303	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10144	*inCl	00 52 14.39	+85 23 11.7	80	80	93	-4.55	-1.12	19.601	18.341	17.54	15.931	15.263	15.07	 	 	 	 	2
Cl* NGC  188    SMV   10160	*inCl	00 52 18.52	+85 24 38.5	180	160	97	0.24	-1.38	20.905	19.339	18.4	16.131	15.644	15.221	 	 	 	 	2
Cl* NGC  188    SMV   10164	*inCl	00 52 02.48	+85 08 23.0	15	11.2	89	-6.22	0.3	22.303	21.055	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10170	*inCl	00 52 06.44	+85 11 32.7	22.8	21.6	89	4.76	3.31	22.21	21.457	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10171	*inCl	00 52 18.27	+85 22 09.3	140	140	0	-30.37	17.88	22.13	20.653	 	16.371	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10174	*inCl	00 52 13.29	+85 18 07.3	5.6	5.6	0	-5.39	1.19	21.574	20.07	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10177	*inCl	00 52 02.52	+85 05 51.8	180	170	126	-2.95	-0.06	20.607	19.137	18.118	16.32	15.517	15.262	 	 	 	 	2
Cl* NGC  188    SMV   10179	*inCl	00 52 06.38	+85 09 34.5	7.5	5.3	0	-3.93	-0.01	21.646	20.145	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10186	*inCl	00 52 06.23	+85 08 53.8	3	2.8	89	-4.18	3.86	19.09	18.329	17.815	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10189	*inCl	00 52 09.32	+85 11 40.3	10.8	8.8	90	-3.38	3.03	21.642	20.91	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10194	*inCl	00 52 09.82	+85 11 08.8	6.9	6.1	90	-2.28	2.49	21.2	20.18	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10207	*inCl	00 52 11.04	+85 10 58.3	29	10.6	0	-4.05	-1.06	21.714	21.456	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10209	*inCl	00 52 09.76	+85 09 26.0	5.3	4.5	0	-3.32	0.49	20.986	19.667	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10219	*inCl	00 52 20.21	+85 18 44.6	5.6	5.3	90	-0.62	4.17	20.962	20.481	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10225	*inCl	00 52 14.07	+85 11 47.6	5.1	4.3	0	-6.53	-1.89	21.075	19.628	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10227	*inCl	00 52 14.42	+85 11 18.9	10.5	8.2	0	-5.19	-0.67	22.476	20.913	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10242	*inCl	00 52 22.55	+85 16 58.2	7.6	6	0	-11.9	-5.52	22.184	20.543	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10273	*inCl	00 52 22.37	+85 12 12.6	5.5	4.4	0	-5.11	3.74	21.09	20.378	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10289	*inCl	00 52 31.01	+85 17 39.3	6.1	5.4	0	-5.87	4.64	21.601	20.431	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10302	*inCl	00 52 40.74	+85 24 51.1	27	17.8	90	-4.36	6.21	22.246	21.497	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10306	*inCl	00 52 39.29	+85 22 43.4	220	180	116	0.61	1.45	19.241	18.274	17.692	16.429	15.865	 	 	 	 	 	2
Cl* NGC  188    SMV   10325	*inCl	00 52 41.94	+85 22 05.2	4.5	3.7	0	0.77	2.82	20.716	19.411	18.596	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10343	*inCl	00 52 26.72	+85 05 44.2	11.4	8.5	90	-1.15	3.27	21.411	20.888	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10346	*inCl	00 52 42.23	+85 19 27.9	4	3.7	0	-3.98	2.99	19.126	18.62	18.235	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10359	*inCl	00 52 45.76	+85 21 46.4	250	240	152	-4.92	-0.89	19.494	18.363	17.682	16.334	15.671	15.684	 	 	 	 	2
Cl* NGC  188    SMV   10361	*inCl	00 52 45.70	+85 21 14.5	110	110	98	-5.16	-0.79	18.86	17.834	17.224	16.017	15.725	15.697	 	 	 	 	2
Cl* NGC  188    SMV   10372	*inCl	00 52 39.65	+85 13 14.0	5.2	4.5	59	-2.38	-0.96	21.255	19.941	 	 	 	 	 	 	 	 	2
Cl* NGC  188    SMV   10375	*inCl	00 52 35.54	+85 09 22.1	6.7	4.9	0	-0.99	-1.25	21.485	19.978	 	 	 	 	 	 	 	 	2
