07 52 30  -60 19 48 
07 52 39  -26 23 00 
07 52 47  -26 17 00 
07 53 01  -53 02 42 
07 53 06  -28 10 12 
07 53 49  -26 58 00 
07 54 30  -38 14 00 
07 55 06  -17 42 36 
07 55 06  -25 21 54 
07 55 12  -24 15 30 
07 55 39  -27 53 42 
07 55 40  -25 53 00 
07 56 15  -30 03 48 
07 56 15  -30 22 00 
07 57 36  -25 55 00 
07 58 04  -60 45 12 
07 58 21  -34 46 11 
07 58 51  -28 35 00 
07 59 16  -27 35 06 
07 59 18  -28 58 00 
07 59 19  -22 41 30 
07 59 36  -16 18 00 
08 00 01  -10 46 12 
08 00 19  -30 17 00 
08 00 48  -19 03 06 
08 01 09  -27 13 00 
08 01 43  -41 36 18 
08 01 46  -44 25 00 
08 01 48  -50 33 30 
08 02 19  -31 04 00 
08 02 24  -29 46 36 
08 02 42  -32 03 00 
08 02 49  -46 23 00 
08 03 15  -26 46 00 
08 03 27  -30 52 00 
08 03 37  -30 39 00 
08 03 37  -31 25 36 
08 04 58  -28 08 48 
08 05 05  -31 49 00 
08 05 09  -31 58 00 
08 06 52  -30 50 12 
08 07 04  -29 53 00 
08 07 05  -32 21 00 
08 07 08  -36 03 48 
08 09 32  -47 20 12 
08 10 09  -49 12 54 
08 10 37  -12 49 06 
08 10 54  -26 60 00 
08 11 21  -31 57 00 
08 12 15  -37 35 42 
08 12 27  -27 54 00 
08 12 27  -32 35 00 
08 12 33  -40 28 00 
08 13 43  -05 45 00 
08 14 24  -36 23 00 
08 14 47  -31 57 00 
08 15 05  -26 58 00 
08 15 39  -30 50 00 
08 15 50  -35 39 00 
08 16 34  -48 30 36 
08 17 54  -41 40 00 
08 18 18  -37 06 00 
08 18 32  -30 38 24 
08 18 56  -29 45 00 
08 19 10  -35 39 00 
08 19 17  -45 12 30 
08 19 21  -34 29 00 
08 20 52  -36 13 00 
08 21 28  -30 18 00 
08 22 12  -36 24 00 
08 23 10  -32 58 30 
08 23 21  -36 20 00 
08 23 25  -29 30 30 
08 24 13  -29 10 00 
08 24 27  -47 13 00 
08 24 31  -41 17 42 
08 25 17  -34 09 00 
08 25 28  -39 38 02 
08 26 53  -41 15 00 
08 27 09  -34 42 18 
08 29 32  -61 06 36 
08 29 49  -19 06 00 
08 31 15  -44 30 00 
08 31 22  -38 39 00 
08 31 41  -41 47 30 
08 31 44  -39 07 54 
08 31 52  -36 11 59 
08 32 31  -41 59 32 
08 32 32  -19 41 00 
08 32 40  -48 18 00 
08 34 30  -37 36 36 
08 34 36  -44 25 00 
08 35 49  -43 37 00 
08 37 15  -29 57 18 
08 37 20  -40 09 00 
08 37 38  -39 35 00 
08 38 26  -34 46 12 
08 39 03  -46 14 00 
08 39 16  -44 03 00 
08 40 24  +19 40 00 
08 40 32  -53 02 00 
08 40 33  -38 04 00 
08 41 08  -38 42 00 
08 41 36  -46 16 00 
08 41 39  -43 22 00 
08 42 06  -79 01 38 
08 42 30  -48 06 48 
08 42 37  -44 59 00 
08 42 38  -47 12 00 
08 42 53  -27 52 24 
08 43 27  -32 39 30 
08 43 43  -37 42 48 
08 43 53  -40 13 54 
08 44 36  -47 36 00 
08 44 38  -35 54 00 
08 44 48  -45 58 00 
